+---------------------------------------------+---------+-------------+-----------+------------+----------+-----------+------------------------------------------------------+
| Name                                        | Density | Temperature | Viscosity | Luminosity | Rarity   | isGaseous | Block                                                |
+---------------------------------------------+---------+-------------+-----------+------------+----------+-----------+------------------------------------------------------+
| acetic_acid                                 |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| acetone                                     |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| acidic_enriched_naquadah_solution           |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| acidic_naquadria_solution                   |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| acidic_osmium_solution                      |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| aerotheum                                   |    -800 |         300 |       100 |          0 | RARE     |      true | thermalfoundation:fluid_aerotheum                    |
| air                                         |    -100 |         293 |       200 |         -1 | COMMON   |      true | -                                                    |
| alchemical_redstone                         |    2000 |         900 |      6000 |         15 | COMMON   |     false | embers:alchemical_redstone                           |
| allyl_chloride                              |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| alubrass                                    |    2000 |         500 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_alubrass                           |
| alugentum                                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_alugentum                         |
| alumina                                     |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_alumina                           |
| aluminium                                   |    1000 |         933 |      1000 |         10 | COMMON   |     false | -                                                    |
| aluminum                                    |    2000 |         330 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_aluminum                           |
| aluminum_nak                                |    5000 |         400 |     15000 |          0 | COMMON   |     false | -                                                    |
| aluminum_nak_hot                            |    4000 |         800 |     10000 |          7 | COMMON   |     false | -                                                    |
| americium                                   |    1000 |        1449 |      1000 |         10 | COMMON   |     false | -                                                    |
| americium_241                               |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| americium_242                               |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| americium_243                               |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| ammonia                                     |    -100 |         293 |       200 |         -1 | COMMON   |      true | -                                                    |
| ammonium_bisulfate_solution                 |    1000 |         300 |      1000 |          0 | COMMON   |     false | nuclearcraft:fluid_ammonium_bisulfate_solution       |
| ammonium_persulfate_solution                |    1000 |         300 |      1000 |          0 | COMMON   |     false | nuclearcraft:fluid_ammonium_persulfate_solution      |
| ammonium_sulfate_solution                   |    1000 |         300 |      1000 |          0 | COMMON   |     false | nuclearcraft:fluid_ammonium_sulfate_solution         |
| annealed_copper                             |    1000 |        1358 |      1000 |         10 | COMMON   |     false | -                                                    |
| antimony                                    |    1000 |         904 |      1000 |         10 | COMMON   |     false | -                                                    |
| aqua_regia                                  |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| ardite                                      |    2000 |         860 |     10000 |         10 | RARE     |     false | tconstruct:molten_ardite                             |
| argon                                       |    -100 |         293 |       200 |         -1 | COMMON   |      true | -                                                    |
| arsenic                                     |    -100 |         887 |       200 |         -1 | COMMON   |      true | -                                                    |
| arsenic_nak                                 |    5000 |         400 |     15000 |          0 | COMMON   |     false | -                                                    |
| arsenic_nak_hot                             |    4000 |         800 |     10000 |          7 | COMMON   |     false | -                                                    |
| astralsorcery.liquidstarlight               |    1001 |         120 |       300 |         15 | EPIC     |     false | astralsorcery:fluidblockliquidstarlight              |
| bacteria                                    |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| bacterial_sludge                            |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| bas                                         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_bas                               |
| battery_alloy                               |    1000 |         660 |      1000 |         10 | COMMON   |     false | -                                                    |
| bef2                                        |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_bef2                              |
| benzene                                     |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| berkelium_247                               |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| berkelium_248                               |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| beryllium                                   |    1000 |        1560 |      1000 |         10 | COMMON   |     false | -                                                    |
